,user,text,favorite_count,retweet_count,created_at
47,POTUS,"It's my job to protect the pensions you all worked so damn hard for.
 
Thanks to today's approval of funds from the Butch Lewis Act I signed into law, union workers across America can go to bed at night knowing their pensions will be there when they need it. https://t.co/XMdcNnbwer",15754,2640,2022-12-09 00:00:02+00:00
48,POTUS,"In the wake of Dobbs, Congress has restored a measure of security to marriages and families by passing the Respect for Marriage Act.

We're one step closer on our journey to build a more perfect union. We'll never stop fighting for equality for LGBTQI+ folks and all Americans.",15940,2231,2022-12-08 23:15:01+00:00
49,POTUS,"I campaigned to restore the backbone of this country: the middle class and unions.
 
Over the last two years that’s what we’ve been doing.
 
Americans are working.
The economy is growing.
Incomes are rising faster than inflation.",17682,3012,2022-12-08 22:16:01+00:00
50,POTUS,"The Butch Lewis Act I signed into law shored up pensions for millions of union workers facing cuts to the benefits they earned.
 
Today, our Administration is announcing the single largest approval of funds from the Act: $36 billion, covering over 350,000 workers and retirees.",9540,1885,2022-12-08 20:01:16+00:00
51,POTUS,Tune in as I deliver remarks on ensuring union workers get the retirements they earned and paid into for years. https://t.co/4oMsF6vvRQ,4212,791,2022-12-08 19:20:40+00:00
52,POTUS,Some great news today: the national average gas price is lower than its level one year ago.,55502,6256,2022-12-08 18:15:54+00:00
53,POTUS,"Last night, I gathered with victims and families of a violence that rips at the soul of our nation: gun violence.
 
Light still shines in darkness.
 
May we have the strength to finish the work left undone on behalf of the lives we’ve lost and all the lives we can save. https://t.co/kmJR67ktM0",17700,2461,2022-12-08 17:30:02+00:00
54,POTUS,"My Administration has been hard at work building new supply chains that run from Phoenix to Detroit and everywhere in between.

Now, ports are flowing and stores are so stocked we’re seeing some prices drop.",15593,2410,2022-12-08 16:45:00+00:00
55,POTUS,It isn’t every day that you meet your heroes. https://t.co/RXl5kyWbAW,46407,8314,2022-12-08 15:43:28+00:00
56,POTUS,Tune in as I deliver an important announcement.  https://t.co/2BVdSsmIFA,10994,1940,2022-12-08 13:39:01+00:00
57,POTUS,"Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",473386,69373,2022-12-08 13:14:44+00:00
