,user,text,favorite_count,retweet_count,created_at
80,elonmusk,@micsolana Same 💕,45699,1811,2022-12-13 03:46:54+00:00
81,elonmusk,@BillyM2k I think about this every time I take DayQuil or NyQuil,51274,2168,2022-12-13 02:27:23+00:00
82,elonmusk,Follow 🐰,431774,38782,2022-12-13 01:15:20+00:00
83,elonmusk,@PhilHollowayEsq @JohnBrennan Exactly,15191,749,2022-12-13 01:11:59+00:00
84,elonmusk,"@GuntherEagleman @heydave7 First one was fine, but the booster knocked me flat for days. Way worse than when I got original C19 and was unvaccinated.",29379,4777,2022-12-13 00:52:57+00:00
85,elonmusk,@Erdayastronaut @TwitterBlue Basic Blue will have half the number of ads. We will offer a higher tier with no ads next year.,10039,725,2022-12-13 00:50:55+00:00
86,elonmusk,@johnkrausphotos @TwitterBlue No,3423,158,2022-12-13 00:39:20+00:00
87,elonmusk,@Lukewearechange @AndrewPollackFL Accurate,39090,2897,2022-12-12 22:15:25+00:00
88,elonmusk,@BillyM2k Haha totally. High quality bots are fine!,11817,597,2022-12-12 21:40:20+00:00
89,elonmusk,@rupasubramanya @TheFP Exactly,35000,2402,2022-12-12 21:34:51+00:00
90,elonmusk,@TRHLofficial @ggreenwald Indeed,11738,661,2022-12-12 21:14:47+00:00
91,elonmusk,@micsolana The wording is mine lol,78660,2614,2022-12-12 20:56:45+00:00
92,elonmusk,"@micsolana In a few months, we will remove all legacy blue checks. The way in which they were given out was corrupt and nonsensical.",130440,12337,2022-12-12 20:56:17+00:00
93,elonmusk,"@ggreenwald Seriously, they could just write one article and share it, since they all write exactly the same thing!",48975,5744,2022-12-12 20:46:24+00:00
94,elonmusk,@ggreenwald True,14218,832,2022-12-12 20:45:26+00:00
95,elonmusk,@elizableu @andst7 @BrandonDrey @realDailyWire Terrible,55692,3438,2022-12-12 20:44:53+00:00
96,elonmusk,"@MomAngtrades Prior Twitter management &amp; board lied to make their user numbers seem artificially higher, so turned a blind eye to fake/spam accounts",40139,5391,2022-12-12 19:53:49+00:00
97,elonmusk,😛 https://t.co/X8Y1YEuS3C,748490,58592,2022-12-12 19:46:04+00:00
98,elonmusk,"Under pressure from hundreds of activist employees, Twitter deplatforms Trump, a sitting US President, even though they themselves acknowledge that he didn’t violate the rules: https://t.co/60PplztV4k",328565,72204,2022-12-12 19:36:52+00:00
99,elonmusk,@BillFOXLA @FoxNews Wow,64853,5067,2022-12-12 14:42:49+00:00
100,elonmusk,"@CrystalHope1979 @catturd2 Somehow, the nation of Sweden is fine",21996,2349,2022-12-12 14:36:58+00:00
101,elonmusk,@JohnBrennan Your house is glass,83858,9357,2022-12-12 14:27:11+00:00
102,elonmusk,@johnkrausphotos Yes :),5451,235,2022-12-12 14:22:05+00:00
103,elonmusk,The Branch Covidians are upset lol,500897,52515,2022-12-12 14:21:31+00:00
104,elonmusk,@MaudMaron @StationCDRKelly Perfectly said,20327,1130,2022-12-12 13:42:43+00:00
105,elonmusk,@teslaownersSV @Gfilche Number 1,11056,710,2022-12-12 13:25:02+00:00
106,elonmusk,@Lukewearechange Exactly,39791,1962,2022-12-12 13:22:09+00:00
107,elonmusk,@dvorahfr @hodgetwins Yes,7240,392,2022-12-12 13:20:33+00:00
108,elonmusk,The woke mind virus is either defeated or nothing else matters,663398,89478,2022-12-12 12:25:32+00:00
109,elonmusk,@Rainmaker1973 Big rockets are needed to make life multiplanetary!,56735,3203,2022-12-12 11:54:45+00:00
110,elonmusk,"@robbystarbuck @StationCDRKelly Many battles remain, but, yes, the tide is starting to turn on the mortal threat to civilization that is the woke mind virus",52401,9245,2022-12-12 11:35:09+00:00
111,elonmusk,Truth resonates …,200062,14241,2022-12-12 11:24:29+00:00
112,elonmusk,@heydave7 Yes,30575,1544,2022-12-12 11:05:22+00:00
113,elonmusk,"@catturd2 Easy to fool people, but it is almost impossible to convince people that they have been fooled",148669,27090,2022-12-12 11:01:19+00:00
114,elonmusk,"@StationCDRKelly I strongly disagree. Forcing your pronouns upon others when they didn’t ask, and implicitly ostracizing those who don’t, is neither good nor kind to anyone.

As for Fauci, he lied to Congress and funded gain-of-function research that killed millions of people. Not awesome imo.",706340,111411,2022-12-12 01:29:00+00:00
115,elonmusk,"@KariLake Reasonable criticism of elections and judicial challenges are, of course, lawful. That seems to be the case here.

Clear incitement to violence will result in suspension and significant deception should result in a @CommunityNotes correction.",44433,4329,2022-12-12 01:13:11+00:00
116,elonmusk,@WallStreetSilv 🤖☠️,13299,738,2022-12-12 00:26:41+00:00
117,elonmusk,@Erdayastronaut How’s it looking?,13833,513,2022-12-12 00:16:27+00:00
118,elonmusk,@PPathole Great!,10773,369,2022-12-11 23:37:21+00:00
119,elonmusk,@DrJBhattacharya Thank you for your rigorous adherence to science,29937,2971,2022-12-11 21:32:38+00:00
120,elonmusk,@Anonydamus1 @BillyM2k 👋,5730,189,2022-12-11 21:05:28+00:00
121,elonmusk,"@nichegamer @BillyM2k @ScammerPayback We are making a lot of progress, but help is always appreciated",13188,644,2022-12-11 20:27:38+00:00
122,elonmusk,"@BillyM2k They will try other methods, but we’re shutting them down as soon as they show up.

Twitter will also be moving to prosecute scammers anywhere on Earth.",72901,7164,2022-12-11 20:18:43+00:00
123,elonmusk,@BillyM2k Mostly,86602,2956,2022-12-11 20:16:13+00:00
124,elonmusk,"Cool, the bots are so far unable to swarm to the top of my replies!",198265,11847,2022-12-11 20:07:59+00:00
125,elonmusk,"@Gfilche Must be done for the future of civilization, without which nothing matters",238643,19462,2022-12-11 19:50:50+00:00
126,elonmusk,"Calling all 🤖&amp; 🧌

Please attack me!",315275,22766,2022-12-11 19:47:35+00:00
127,elonmusk,@thevivafrei @RitchieTorres Correct,42994,4000,2022-12-11 19:36:16+00:00
128,elonmusk,@bradmcgash @saylor Agreed,7781,287,2022-12-11 19:20:39+00:00
129,elonmusk,@saylor That’s my guess: small number of humans with large bot/troll armies. We are shutting down IP addresses of known bad actors today. Should have been done long ago.,41296,4900,2022-12-11 19:17:49+00:00
130,elonmusk,@stillgray Lmaooo,35286,2154,2022-12-11 19:07:04+00:00
131,elonmusk,@GavinSBaker It’s gonna be 🔥🔥,8540,546,2022-12-11 18:52:28+00:00
132,elonmusk,@Jason Yup,17742,746,2022-12-11 18:47:34+00:00
133,elonmusk,@GavinSBaker Nature is healing,54333,3009,2022-12-11 18:36:24+00:00
134,elonmusk,Hope you’re having a lovely Sunday! 😀,501370,27086,2022-12-11 18:12:21+00:00
135,elonmusk,My pronouns are Prosecute/Fauci,1278912,190649,2022-12-11 10:58:17+00:00
136,elonmusk,@murraymints82 Oh it is coming bigtime …,82066,10301,2022-12-11 10:28:59+00:00
137,elonmusk,Now things get spicy 🌶️,376291,28685,2022-12-11 10:22:45+00:00
138,elonmusk,https://t.co/yhEOieaGER,588053,81889,2022-12-11 10:19:55+00:00
139,elonmusk,@ParikPatelCFA 🤖 💀 🥂,19491,811,2022-12-11 10:16:28+00:00
140,elonmusk,Twitter is speeding up,296039,18875,2022-12-11 09:09:55+00:00
141,elonmusk,@AllanObare4 Yes,11713,986,2022-12-11 08:54:26+00:00
142,elonmusk,Twitter was Wormtongue to the World,181906,16646,2022-12-11 08:50:15+00:00
143,elonmusk,"Saruman … your staff is broken.
https://t.co/JivXLgdejx",81960,6803,2022-12-11 08:40:09+00:00
144,elonmusk,"@GailAlfarATX The bots/trolls generate fake activity, so Twitter may seem a little less lively, but actually it’s just that the fakery is gone",53937,5959,2022-12-11 08:26:28+00:00
